,REG_NO,Brand,Model,CC,Manufactured_Date,DEALER_ID,DEALERSHIP_NAME,Purchase_date,Color,Purchase_Price,Source,Refurbish_Date,Variant,PART_DESCRIPTION,Part_Cost,Labour_Description,Labour_Amount,Refurbished_price,Sale_Date,Year,Sale_Price,Financier,Model_new,Varient,Age
66,MH05CF5548,SUZUKI,ACCESS UZ 125 CC,124.0,2014,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-10-23,NAN,20500.0,WALK IN,2021-10-25,,FILTER HOLDER COMP,270.85,,0.0,235.0,2021,2021.0,21060.0,NAN,ACCESS 125,,7
67,UP32JL4643,TVS,JUPITER BSIV,110.0,2017,100000005.0,RAFTAAR TRUMOTO,2022-04-29,SUNLIT IVORY,35000.0,WALK IN,2022-04-30,110cc,,,,0.0,,2022,2022.0,43000.0,NAN,JUPITER,BSIV,5
69,AP05DK6663,YAMAHA,FZS (TYPE CODE RG072) B,149.0,2016,100000026.0,WHEELSMART,2022-06-22,NAN,41000.0,OUTDOOR ACTIVITY,2022-07-12,150CC,,,,0.0,,2022,2022.0,55000.0,NAN,FZS,,6
71,MH06CC8798,TVS,JUPITER,110.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-02-14,WALNUT BROWN,55000.0,WALK IN,2022-03-10,110CC BS6,FILTER HOLDER COMP,270.85,WELDING REPAIR,100.0,335.0,2022,2022.0,58904.0,NAN,JUPITER,,2
77,AP39MF4615,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2021,100000026.0,WHEELSMART,2022-05-28,NAN,74900.0,OUTDOOR ACTIVITY,2022-05-30,,,,,0.0,,2022,2022.0,75100.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,1
80,TN38CV8291,HONDA,DIO DRUM,110.0,2020,100000019.0,SRI VENKATESWAR AUTOS,2022-08-26,NAN,69000.0,WALK IN,2022-09-02,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,362.0,,0.0,362.0,2022,2022.0,78000.0,OTHERS,DIO,,2
81,AP31DU8858,ROYAL ENFIELD,CLASSIC 350,350.0,2017,100000023.0,WHEELSMART,2022-10-21,NAN,111500.0,TELEPHONE,2022-11-04,,SPEEDOMETER CABLE BULLET,280.32,GENERAL SERVICING  - MCYCLE,650.0,880.0,2022,2022.0,136500.0,NAN,CLASSIC 350,,5
85,AP39EZ9071,BAJAJ,PULSAR 150 DTSI,150.0,2020,100000027.0,WHEELSMART,2022-09-21,NAN,83050.0,TELEPHONE,2022-10-03,,,,,0.0,,2022,2022.0,92000.0,NAN,PULSAR 150,DTSI,2
88,TN99P8120,BAJAJ,CT 100,102.0,2019,100000020.0,JAISUBHA MOTORS,2022-08-31,NAN,55000.0,WALK IN,2022-09-17,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,59000.0,NAN,CT 100,,3
89,DL4SCX0924,TVS,JUPITER BSIV,110.0,2018,100000003.0,KRISH AUTOMOBILES,2022-03-01,WALNUT BROWN,26000.0,WALK IN,2022-03-17,110cc,,,,0.0,,2022,2022.0,58900.0,OTHERS,JUPITER,BSIV,4
91,AP31EP2987,ROYAL ENFIELD,CLASSIC 350,350.0,2018,100000023.0,WHEELSMART,2022-10-12,NAN,126600.0,WALK IN,2022-10-31,,,,,0.0,,2022,2022.0,157400.0,NAN,CLASSIC 350,,4
92,DL9SAW0300,TVS,JUPITER,110.0,2016,100000003.0,KRISH AUTOMOBILES,2022-02-01,TITANIUM GREY,22000.0,WALK IN,2022-02-02,110cc,,,,0.0,,2022,2022.0,47000.0,NAN,JUPITER,,6
93,DL7SCB9906,BAJAJ,CT 100,102.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-11-04,NAN,16000.0,TELEPHONE,2022-11-04,,,,,0.0,,2022,2022.0,21000.0,NAN,CT 100,,5
96,DL5SCP7901,HERO,SPLENDOR PLUS BLACK AND ACCENT,97.0,2021,100000003.0,KRISH AUTOMOBILES,2021-11-08,NAN,55000.0,WALK IN,2021-11-15,100 MILLION EDITION,,,,0.0,,2021,2021.0,57800.0,NAN,SPLENDOR PLUS,BLACK AND ACCENT,0
100,UP32JT4866,TVS,SCOOTY PEPPLUS BSIV,88.0,2018,100000005.0,RAFTAAR TRUMOTO,2022-04-18,MET BLUE,30000.0,WALK IN,2022-04-21,,,,,0.0,,2022,2022.0,40000.0,NAN,SCOOTY PEPPLUS,BSIV,4
102,AP39FA3627,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2020,100000026.0,WHEELSMART,2022-06-20,NAN,64100.0,OUTDOOR ACTIVITY,2022-06-22,100CC BLACK AND ACCENT EDITION,,,,0.0,,2022,2022.0,68360.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,2
104,UP32KE7357,TVS,JUPITER ZX BSIV,110.0,2018,100000005.0,RAFTAAR TRUMOTO,2021-10-07,BOTTLE GREEN,35000.0,WALK IN,2021-10-13,110cc,,,,0.0,,2021,2021.0,46200.0,NAN,JUPITER ZX,BSIV,3
111,HR26CQ4194,YAMAHA,FASCINO,113.0,2015,100000004.0,AHINSHA TRUMOTO,2022-03-31,NAN,12000.0,WALK IN,2022-03-31,,,,,0.0,,2022,2022.0,18000.0,NAN,FASCINO,,7
112,RJ07GS6328,BAJAJ,CT 100 ES CBS),102.0,2019,100000013.0,SHANTI TRUMOTO,2021-02-11,NAN,33500.0,WALK IN,2021-03-06,,BRAKE SHOE REAR PULSER,170.0,CARBURATOR / Throttle body ) CLEANING & TUNING WITH CO ANALYS ER - MC 150-200CC,150.0,320.0,2021,2021.0,36860.0,SCUF(SRIRAM),CT 100,ES CBS,2
113,MH05ES1351,TVS,APACHE RTR 160 4V,160.0,2021,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-08-18,BLACK,85000.0,WALK IN,2022-08-21,,TRU4 SYNTHETIC ENGINE OIL 1200 ML,785.0,SPEEDOMETER DRIVE GEAR RPLCMENT - APACHE,50.0,835.0,2022,2022.0,99000.0,NAN,APACHE RTR160,4V,1
115,TN90D8845,TVS,SCOOTY PEPPLUS BSIV,88.0,2019,100000020.0,JAISUBHA MOTORS,2022-04-25,NAN,48000.0,WALK IN,2022-04-25,,,,,0.0,,2022,2022.0,50000.0,NAN,SCOOTY PEPPLUS,BSIV,3
122,DL4SCX4549,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2018,100000021.0,BAJWA AUTOMOBILES,2022-07-17,NAN,42000.0,TELEPHONE,2022-09-06,,ENGINE OIL,355.0,,0.0,355.0,2022,2022.0,64000.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,4
123,TN42AE0825,YAMAHA,FASCINO,113.0,2019,100000019.0,SRI VENKATESWAR AUTOS,2022-03-07,NAN,62000.0,WALK IN,2022-03-07,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICING  - MCYCLE,650.0,980.0,2022,2022.0,65000.0,INDUSIND,FASCINO,,3
128,MH48BJ2832,BAJAJ,CT 100,102.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-03-30,NAN,28000.0,WALK IN,2022-03-30,,,,,0.0,,2022,2022.0,31064.0,NAN,CT 100,,4
129,DL13SU8041,TVS,APACHE RTR 160 BSIV,160.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-10-31,BLACK,38500.0,TELEPHONE,2022-10-31,,,,,0.0,,2022,2022.0,41500.0,NAN,APACHE RTR160,BSIV,5
134,RJ44SE9138,HERO,HF DELUXEE I3S-SELF-DRUM-CAST,97.0,2019,100000013.0,SHANTI TRUMOTO,2021-02-04,NAN,43232.0,WALK IN,2021-03-13,,BOLT HEX 10NO,30.0,GENERAL SERVICING  - MC 100-350CC,425.0,430.0,2021,2021.0,48572.16,HEROFIN,HF DELUXE,I3S SELF DRUM CAST,2
136,DL4SCZ9874,TVS,JUPITER BSIV,110.0,2019,100000003.0,KRISH AUTOMOBILES,2021-08-02,WALNUT BROWN,25000.0,WALK IN,2021-08-02,110CC,,,,0.0,,2021,2021.0,50200.0,OTHERS,JUPITER,BSIV,2
139,DL3SDD5150,BAJAJ,PULSAR 220 DTSI F,220.0,2016,100000004.0,AHINSHA TRUMOTO,2022-10-01,NAN,25000.0,TELEPHONE,2022-10-01,,,,,0.0,,2022,2022.0,75000.0,NAN,PULSAR 220,DTSI F,6
141,DL4SDG0610,TVS,JUPITER,110.0,2014,100000003.0,KRISH AUTOMOBILES,2021-08-02,TITANIUM GREY,17000.0,WALK IN,2021-08-02,110cc,,,,0.0,,2021,2021.0,31014.56,NAN,JUPITER,,7
142,TN93D7471,HONDA,SHINE DRUM,125.0,2021,100000020.0,JAISUBHA MOTORS,2021-11-02,NAN,80000.0,WALK IN,2021-11-05,125CC DISC BS6,,,,0.0,,2021,2021.0,81680.0,NAN,SHINE,,0
144,MH04JW6938,TVS,SCOOTY PEPPLUS BSIV,88.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-07-06,STALLION BROWN,33500.0,WALK IN,2022-09-27,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,390.0,Magneto Replacement,100.0,490.0,2022,2022.0,36500.0,NAN,SCOOTY PEPPLUS,BSIV,4
146,AP05EV2766,HONDA,CB SHINE,125.0,2018,100000026.0,WHEELSMART,2022-06-18,NAN,60000.0,OUTDOOR ACTIVITY,2022-06-18,125cc Drum,,,,0.0,,2022,2022.0,64000.0,NAN,SHINE,,4
151,UP32KC5040,HONDA,CB125 SHINE SP,125.0,2018,100000005.0,RAFTAAR TRUMOTO,2021-12-28,NAN,43000.0,WALK IN,2021-12-31,125CC CBS,,,,0.0,,2022,2022.0,56440.0,NAN,SHINE,SP,4
152,MH05DB5658,HONDA,DIO HET,110.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-01-25,NAN,25000.0,WALK IN,2022-01-25,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,FRAME REPAIRS,100.0,455.0,2022,2022.0,25560.0,NAN,DIO,,6
156,DL7SBZ1630,BAJAJ,PULSAR  220 SF,220.0,2015,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-02-23,NAN,32000.0,WALK IN,2022-02-24,,,,,0.0,,2022,2022.0,68000.0,NAN,PULSAR 220,SF,7
157,DL11SX4351,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2018,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-07-19,NAN,37000.0,WALK IN,2022-07-19,I3s,,,,0.0,,2022,2022.0,69000.0,OTHERS,SPLENDOR PLUS,I3S SELF DRUM CAST,4
160,TN38CW6467,TVS,JUPITER,110.0,2020,100000019.0,SRI VENKATESWAR AUTOS,2022-07-05,WALNUT BROWN,59000.0,WALK IN,2022-07-05,110CC BS6,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,417.22,GENERAL SERVICING  - MCYCLE,650.0,1012.0,2022,2022.0,64000.0,OTHERS,JUPITER,,2
163,DL13SU1445,SUZUKI,ACCESS 125,124.0,2017,100000021.0,BAJWA AUTOMOBILES,2022-06-26,NAN,20000.0,TELEPHONE,2022-06-26,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,417.22,,0.0,362.0,2022,2022.0,28000.0,NAN,ACCESS 125,,5
164,TN38CT5391,BAJAJ,PULSAR 220 DTSI F ABS),220.0,2019,100000019.0,SRI VENKATESWAR AUTOS,2022-08-16,NAN,98000.0,WALK IN,2022-08-18,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,362.0,general labour,300.0,662.0,2022,2022.0,102000.0,BAJAJFIN,PULSAR 220,DTSI F ABS,3
165,MH05EE2290,TVS,SCOOTY PEPPLUS BSIV,88.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-02-24,FL RED,45000.0,WALK IN,2022-02-28,,GEAR OIL,73.13,FRONT/REAR DRUM BRAKE SHOE CLEAN RPLCMENT - APACHE,65.0,125.0,2022,2022.0,46964.0,NAN,SCOOTY PEPPLUS,BSIV,3
166,TN30BR2313,HERO,SPLENDOR PLUSI3S-SELF-DRUM-CAST,97.0,2020,100000020.0,JAISUBHA MOTORS,2022-11-12,NAN,65000.0,TELEPHONE,2022-11-12,,ENGINE OIL,403.38,,0.0,350.0,2022,2022.0,68500.0,NAN,SPLENDOR PLUS,I3S SELF DRUM CAST,2
168,RJ13HS4356,HERO,HF DELUXEE KICK-DRUM-CAST,97.0,2020,100000013.0,SHANTI TRUMOTO,2022-03-28,NAN,36000.0,WALK IN,2022-03-28,IBS KICK ALLOY 100cc,JUPITER SEAT COVER,243.75,,0.0,200.0,2022,2022.0,46782.0,SCUF(SRIRAM),HF DELUXE,KICK DRUM CAST,2
170,TN37DW4054,HERO,PASSION PRO I3S-SELF-DRUM-CAST,110.0,2019,100000019.0,SRI VENKATESWAR AUTOS,2021-10-28,NAN,63000.0,E MAIL,2021-10-30,100CC DISC ALLOY,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICE WITH OIL,220.0,550.0,2021,2021.0,60000.0,NAN,PASSION PRO,I3S SELF DRUM CAST,2
175,TN54U6508,TVS,JUPITER ZX,110.0,2021,100000020.0,JAISUBHA MOTORS,2021-12-31,MAG PURPLE,77000.0,WALK IN,2021-12-31,110CC BS6,,,,0.0,,2021,2021.0,78740.0,NAN,JUPITER ZX,,0
176,AP39BY3123,BAJAJ,PULSAR 150 DTSI ABS),150.0,2019,100000023.0,WHEELSMART,2022-08-10,NAN,71500.0,WALK IN,2022-10-27,,,,,0.0,,2022,2022.0,88500.0,OTHERS,PULSAR 150,DTSI ABS,3
177,DL11SS2264,TVS,SCOOTY PEPPLUS BSIV,88.0,2017,100000003.0,KRISH AUTOMOBILES,2022-05-29,C WHITE,27000.0,WALK IN,2022-05-29,110cc,ENGINE OIL,383.91,BATTERY CHARGING - APACHE,50.0,365.0,2022,2022.0,47000.0,OTHERS,SCOOTY PEPPLUS,BSIV,5
179,TN29CY2882,HONDA,DIO DLX,110.0,2020,100000020.0,JAISUBHA MOTORS,2022-12-28,NAN,48000.0,TELEPHONE,2022-12-28,,ENGINE OIL,403.38,,0.0,350.0,2022,2022.0,52000.0,NAN,DIO,,2
182,AP31EA5334,YAMAHA,FASCINO,113.0,2017,100000026.0,WHEELSMART,2022-06-18,NAN,40000.0,OUTDOOR ACTIVITY,2022-06-18,,,,,0.0,,2022,2022.0,44000.0,NAN,FASCINO,,5
183,AP31DF2526,YAMAHA,FASCINO BSIII,113.0,2016,100000023.0,WHEELSMART,2022-10-17,NAN,26600.0,WALK IN,2022-10-21,,YAMALUBE MINERAL,320.0,,0.0,320.0,2022,2022.0,43400.0,NAN,FASCINO,BSIII,6
184,TN37DB7831,HONDA,CB UNICORN,150.0,2018,100000019.0,SRI VENKATESWAR AUTOS,2021-08-20,NAN,37667.0,E MAIL,2021-08-20,160cc Cbs,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,GENERAL SERVICING  - MCYCLE,650.0,960.0,2022,2022.0,41959.96,NAN,CB UNICORN 160,,4
185,DL4SCR6901,TVS,JUPITER BSIV,110.0,2017,100000003.0,KRISH AUTOMOBILES,2021-10-29,BLACK,25500.0,WALK IN,2021-10-29,110cc,,,,0.0,,2021,2021.0,43364.0,NAN,JUPITER,BSIV,4
195,TN41AR0667,HERO,PASSION PRO I3S DRUM BSIII,110.0,2017,100000019.0,SRI VENKATESWAR AUTOS,2021-10-28,NAN,40000.0,WALK IN,2021-10-30,100cc,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICE WITH OIL,220.0,550.0,2021,2021.0,64640.0,NAN,PASSION PRO,I3S DRUM BSIII,4
198,MH04KG6742,SUZUKI,ACCESS 125,124.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-07,NAN,52000.0,WALK IN,2021-09-08,,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,409.15,,0.0,355.0,2021,2021.0,56480.0,NAN,ACCESS 125,,2
204,AP39AU3858,BAJAJ,PULSAR 150 DTSI,150.0,2019,100000026.0,WHEELSMART,2022-09-21,NAN,80000.0,OUTDOOR ACTIVITY,2022-09-22,,,,,0.0,,2022,2022.0,82402.0,NAN,PULSAR 150,DTSI,3
206,TN38CZ7243,HERO,PASSION PRO DISC-SELF-CAST-S,110.0,2021,100000019.0,SRI VENKATESWAR AUTOS,2022-03-17,NAN,63500.0,WALK IN,2022-03-17,100 MILLION EDITION DISC,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,380.34,GENERAL SERVICING  - MCYCLE,650.0,980.0,2022,2022.0,70500.0,INDUSIND,PASSION PRO,DISC SELF CAST S,1
215,DL3SDK8447,HERO,SPLENDOR PLUS,97.0,2016,100000003.0,KRISH AUTOMOBILES,2021-10-08,NAN,26000.0,WALK IN,2021-11-23,100CC,,,,0.0,,2021,2021.0,40560.0,NAN,SPLENDOR PLUS,,5
216,TN54U5694,HONDA,DIO DRUM,110.0,2021,100000020.0,JAISUBHA MOTORS,2022-07-30,NAN,62000.0,WALK IN,2022-08-05,,ENGINE OIL,350.0,,0.0,350.0,2022,2022.0,65000.0,NAN,DIO,,1
220,MH05EH9535,TVS,JUPITER ZX,110.0,2020,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-04-23,MAG PURPLE,55000.0,WALK IN,2022-05-14,110CC BS6,FILTER HOLDER COMP,270.85,CYLINDER HEAD MACHINING,100.0,335.0,2022,2022.0,59354.0,NAN,JUPITER ZX,,2
223,AP31EP8978,BAJAJ,PULSAR 150 DTSI,150.0,2018,100000023.0,WHEELSMART,2022-07-22,NAN,63000.0,WALK IN,2022-07-25,,ENGINE OIL 20W50 1 LT BAJAJ,490.0,,0.0,490.0,2022,2022.0,81000.0,OTHERS,PULSAR 150,DTSI,4
226,MH05CU2885,TVS,WEGO,110.0,2016,100000018.0,SHREE LAXMI  AUTOMOBILES,2021-09-21,VOLCANO RED,28500.0,WALK IN,2021-11-16,110cc,,,,0.0,,2021,2021.0,28500.0,NAN,WEGO,,5
228,DL8SCD2718,TVS,JUPITER ZX BSIV,110.0,2017,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-05-04,MAG PURPLE,27000.0,WALK IN,2022-05-04,110cc,,,,0.0,,2022,2022.0,55000.0,NAN,JUPITER ZX,BSIV,5
229,DL3SEC6736,HONDA,AVIATOR,110.0,2018,100000004.0,AHINSHA TRUMOTO,2022-03-23,NAN,26000.0,WALK IN,2022-03-23,,,,,0.0,,2022,2022.0,46000.0,NAN,AVIATOR,,4
232,TN99U2578,HONDA,DIO DLX,110.0,2021,100000019.0,SRI VENKATESWAR AUTOS,2022-01-07,NAN,70000.0,WALK IN,2022-01-07,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 900ML,357.29,GENERAL SERVICING  - MCYCLE,650.0,960.0,2022,2022.0,73000.0,OTHERS,DIO,,1
233,AP39AM0568,ROYAL ENFIELD,CLASSIC 350 ABS,350.0,2019,100000026.0,WHEELSMART,2022-06-06,NAN,157000.0,OUTDOOR ACTIVITY,2022-06-06,350 S ABS,,,,0.0,,2022,2022.0,169000.0,NAN,CLASSIC 350,ABS,3
235,TN30BK5036,TVS,JUPITER BSIV,110.0,2018,100000020.0,JAISUBHA MOTORS,2022-03-31,NAN,35000.0,WALK IN,2022-03-31,110cc,,,,0.0,,2022,2022.0,41000.0,NAN,JUPITER,BSIV,4
237,DL3SEQ5566,TVS,JUPITER,110.0,2020,100000003.0,KRISH AUTOMOBILES,2021-09-14,WALNUT BROWN,50000.0,WALK IN,2021-09-14,110CC BS6,,,,0.0,,2021,2021.0,58960.0,NAN,JUPITER,,1
241,AP31DQ9585,SUZUKI,ACCESS 125,124.0,2017,100000026.0,WHEELSMART,2022-06-08,NAN,25460.0,OUTDOOR ACTIVITY,2022-06-08,,,,,0.0,,2022,2022.0,49610.0,NAN,ACCESS 125,,5
244,AP39GS3521,YAMAHA,FASCINO,113.0,2020,100000027.0,WHEELSMART,2022-08-30,NAN,63500.0,WALK IN,2022-08-30,,BLACK SPRAY,150.0,GENERAL SERVICING  - SCOOTER,300.0,450.0,2022,2022.0,69000.0,INDUSIND,FASCINO,,2
245,DL8SCP1577,TVS,APACHE RTR 160 4V,160.0,2019,100000017.0,RAJPOOT BEST DEALS PVT LTD,2022-03-04,BLACK,56500.0,WALK IN,2022-03-04,,,,,0.0,,2022,2022.0,83500.0,OTHERS,APACHE RTR160,4V,3
247,MH06CA5602,YAMAHA,FZS,149.0,2019,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-01-21,NAN,50000.0,WALK IN,2022-04-19,,FILTER HOLDER COMP,270.85,CYLINDER HEAD MACHINING,100.0,335.0,2022,2022.0,54114.0,NAN,FZS,,3
248,DL4SCS3807,SUZUKI,ACCESS 125,124.0,2017,100000003.0,KRISH AUTOMOBILES,2021-03-14,NAN,21000.0,WALK IN,2021-03-23,,TVS TRU4 PREMIUM 10W30 ENGINE OIL 1LTR,290.0,WATER  WASH - SCOOTY,50.0,340.0,2021,2021.0,40040.0,HDFC,ACCESS 125,,4
255,MH05DX4530,HONDA,CB UNICORN,150.0,2018,100000018.0,SHREE LAXMI  AUTOMOBILES,2022-04-11,NAN,45000.0,WALK IN,2022-04-11,150cc,TVS TRU4 SKUUTA 10W30 ENGINE OIL 900ML,449.49,CYLINDER HEAD MACHINING,100.0,490.0,2022,2022.0,48166.0,NAN,CB UNICORN 160,,4
